ID,Name_lang,LocaleMask,Create_charsetMask,Existing_charsetMask,Flags,Order
1,Desarrollo,0,0,0,0,-127
2,Estados Unidos,0,1,1,0,0
3,Oceánico,0,1,1,0,0
4,América Latina,0,1,1,0,0
5,Torneo,0,1,1,1,50
6,Corea,0,10,10,0,0
7,Torneo,0,10,10,1,50
8,Inglés,3277,1,1,0,0
9,Alemán,3277,1,1,0,0
10,Francés,3277,1,1,0,0
11,Español,3277,1,1,0,0
12,Ruso,256,4,4,0,0
13,Torneo,0,1,1,1,50
14,Taiwán,0,17,17,0,-127
15,Torneo,0,17,17,1,50
16,China,0,17,17,0,0
17,CN1,0,17,17,0,0
18,CN2,0,17,17,0,0
19,CN3,0,17,17,0,0
20,CN4,0,17,17,0,0
21,CN5,0,17,17,0,0
22,CN6,0,17,17,0,0
23,CN7,0,17,17,0,0
24,CN8,0,17,17,0,0
25,Torneo,0,17,17,1,50
26,Servidor de pruebas,0,0,0,0,0
27,Torneo,0,0,0,1,50
28,Servidor de control de calidad,0,0,0,0,0
29,CN9,0,17,17,0,0
30,Servidor de pruebas 2,0,0,0,0,0
31,CN10,0,17,17,0,0
32,CTC,0,17,17,0,0
33,CNC,0,17,17,0,0
34,CN1/4,0,17,17,0,0
35,CN2/6/9,0,17,17,0,0
36,CN3/7,0,17,17,0,0
37,CN5/8,0,17,17,0,0
38,Torneo ruso,256,4,4,1,51
39,CN11,0,17,17,0,0
40,CN12,0,17,17,0,0
41,CN13,0,17,17,0,0
42,CN14,0,17,17,0,0
43,CN15,0,17,17,0,0
44,CN16,0,17,17,0,0
45,CN17,0,17,17,0,0
46,CN18,0,17,17,0,0
47,CN19,0,17,17,0,0
48,CN20,0,17,17,0,0
49,Brasil,0,1,1,0,0
50,Italiano,3277,1,1,0,0
51,Hyrule,0,0,0,0,0
52,QA2 Test,0,0,0,0,0
55,Reino recomendado,0,17,17,0,0
56,Prueba,0,1,1,0,80
58,Pruebas futuras,0,1,1,0,80
159,Prueba regional,0,0,0,0,80
160,Clásico,0,0,0,0,0
161,Classic,0,0,0,0,0
162,EE. UU. (Oeste),0,1,1,0,-50
163,EE. UU. (Este),0,1,1,0,-49
164,Automation,0,0,0,0,0
165,Prueba de era,0,0,0,0,0
166,Classic Era,0,1,1,0,0
167,Classic Era,3277,1,1,0,0
168,Classic Era,0,10,10,0,0
169,Classic Era,0,17,17,0,0
170,Classic Era,0,17,17,0,0
171,De temporada,0,1,1,0,-127
172,De temporada,3277,1,1,0,-127
173,De temporada,0,10,10,0,-127
174,De temporada,0,17,17,0,-127
175,De temporada,0,17,17,0,-127
179,Copia de prueba,0,17,17,0,-127
180,Global,0,17,17,0,0
181,Hardcore,0,0,0,0,0
182,De temporada,0,0,0,0,0
183,Internal Dev,0,0,0,2,0
184,Desarrollo 3,0,1,1,2,0
185,PS,0,1,1,2,0
186,Beta,0,0,0,0,0
187,Prueba de NetEase,0,17,17,0,0
188,Regreso a Rasganorte,0,1,1,2,0
189,Progresión,0,1,1,0,0
190,Progresión,3277,1,1,0,0
191,Progresión,0,10,10,0,0
192,Progresión,0,17,17,0,0
193,Progresión,0,17,17,0,0
194,Aniversario,0,1,1,0,-127
195,Aniversario,0,10,10,0,-127
196,Aniversario,3277,1,1,0,-127
197,Aniversario,0,17,17,0,-127
198,Aniversario,0,17,17,0,-127
199,Classic Era,0,17,17,0,0
201,Classic Era,0,0,0,0,0
202,Aniversario,0,0,0,0,0
